Comment,Author,Published At,Updated At,Like Count,Sentiment_Label,Sentiment_Score
This is beautiful no matter the language. I try to remember the words and the music tells me what they are singing. Lovely😊,@lindacnickerson5863,2022-12-25T06:19:47Z,2022-12-25T06:19:47Z,18,POSITIVE,0.999733030796051
"This is not real. This &quot;music&quot; is not made by real people, BUT rather machines/AI.<br>It is computer generated.....sadly.<br>This genre of&quot;music&quot; has become rather deceptive.....as it is not real &quot;singers&quot; nor &quot;musicians&quot;.<br>Listen to any given track from this channel......it ALL sounds the same.<br>I liken it to &quot;CGI in the form of sound&quot;, not visual.",@FordSeniorMaster,2022-12-25T06:14:18Z,2022-12-25T06:14:18Z,1,NEGATIVE,0.9973293542861938
BBN-Un oasis en el desierto Que el  que no naciere  de nuevo no puede ver el reino de Dios Juana 3-3,@TRACTS4JESUS,2022-12-24T21:40:18Z,2022-12-24T21:40:18Z,1,NEGATIVE,0.9424043893814087
Love listening to this choir singing. What language are they singing in?,@leonamartin3466,2022-12-24T21:04:51Z,2022-12-24T21:04:51Z,4,POSITIVE,0.9991901516914368
I am 93 years old and still enjoying alone.,@user-hh9lf8rw3l,2022-12-24T15:46:37Z,2022-12-24T15:46:37Z,301,POSITIVE,0.999772846698761
Красно дякую!,@9boh6dan3,2022-12-24T14:17:52Z,2022-12-24T14:17:52Z,5,POSITIVE,0.9904711246490479
"Lindas músicas, um misto de paz , harmonia e gratidão.",@socorrodasilva4372,2022-12-24T13:24:41Z,2022-12-24T13:24:41Z,10,NEGATIVE,0.9200482368469238
Lindíssimo! Nos contata com as Hostes Celestiais! Feliz Natal 🎁🎄 ❤,@claudiabenini9144,2022-12-24T12:04:13Z,2022-12-24T12:04:13Z,7,NEGATIVE,0.9542081356048584
thank for singing such wonderful music .may all be blessed who hear this. praise GODs  holy name ! joy is for us all to have! amen!,@deborahautry8922,2022-12-24T09:45:52Z,2022-12-24T09:45:52Z,17,POSITIVE,0.9998621940612793
This music is the kind of music that makes me,@Stacyohama,2022-12-24T00:37:54Z,2022-12-24T00:37:54Z,4,POSITIVE,0.999763548374176
"Silent Night - transcends all languages and cultures and was able to stop war in 1914 on Christmas Eve as soldiers singing from both sides came together to exchange peace and glad tidings if only temporarily. When men who are ordered to fight and kill, come together like that they see humanity and long for peace...and the Commanders know it. Soldiers long for the peace and love brought to the world by a little babe 2000 years ago who was born in a manger at midnight in Bethlehem in piercing cold. Peace on earth, good will t&#39;ward men. God bless.",@user-mq9co4tl1w,2022-12-23T17:54:27Z,2022-12-23T17:54:27Z,49,POSITIVE,0.9993383288383484
"thank you!!!! I am 73 years old and all this beautiful music takes me back to mi childhood. I pray for the future geneerations to understand and love this music and continue teaching their children the best season of all, when the Lord came to us because he still has faith in humanity. thank you from Guatemala/Honduras.",@martainesarellanodonaire8211,2022-12-23T16:33:57Z,2022-12-23T16:33:57Z,131,POSITIVE,0.9998329877853394
Sangat menenangkan hati dan jiwa. Bagaikan suara Malaikat dari Surga. Selamat Natal saudara saudaraku semua.,@widodosoepangkat1805,2022-12-23T14:28:12Z,2022-12-23T14:28:12Z,9,NEGATIVE,0.9896833896636963
Beautiful music and you can sing along in English or your own vernacular!,@cheriemorris-tafatu1300,2022-12-23T11:28:54Z,2022-12-23T11:28:54Z,12,POSITIVE,0.9998681545257568
Рождество снова пришло. С Рождеством тебя и твоих близких,@RelaxMusictv2023,2022-12-23T10:14:41Z,2022-12-23T10:14:41Z,7,NEGATIVE,0.7231596112251282
magnifique,@cathyedel6555,2022-12-23T04:25:12Z,2022-12-23T04:25:12Z,11,POSITIVE,0.950714647769928
😇🙇‍♀️🙇‍♂️🙏🙏🌲🌹🍀🌹🌲🌹🤗 Amazing Merry<br>Christmas 2022,@ntm6855,2022-12-23T02:49:02Z,2022-12-23T02:51:12Z,7,POSITIVE,0.9998431205749512
Cant sing with it. Not English.,@MsFred58,2022-12-22T22:37:22Z,2022-12-22T22:37:22Z,3,NEGATIVE,0.9972901344299316
Beautiful!,@wiwarb,2022-12-22T21:39:02Z,2022-12-22T21:39:02Z,20,POSITIVE,0.9998811483383179
very very god,@marie-paulross,2022-12-22T01:41:27Z,2022-12-22T01:41:27Z,6,POSITIVE,0.9944032430648804
"We just posted another Christmas Choir Video here: <a href=""https://youtu.be/n5rWsy6bWuI"">https://youtu.be/n5rWsy6bWuI</a><br>What is your favorite song in the video?",@AmbientMusicParadise,2022-12-20T04:03:42Z,2022-12-20T04:03:42Z,20,NEGATIVE,0.997931718826294
Beautiful music but I don&#39;t recognize the language it&#39;s being sung in,@cherylroeben8353,2022-12-20T03:27:56Z,2022-12-20T03:27:56Z,14,NEGATIVE,0.9818277955055237
聖誕快樂，主降臨，願世界和平❤️,@user-jf8sv6dc9t,2022-12-19T16:44:31Z,2022-12-19T16:44:31Z,9,NEGATIVE,0.9150152206420898
"It really is very soulful Christmas music. This music awakens the eternal child that we hold within us and thus, we become children again, sweetly nostalgic for the distant past.",@ArchonAlternative,2022-12-18T15:26:09Z,2022-12-18T15:26:09Z,53,POSITIVE,0.9998371601104736
